baseline,scenario,description,G1,G2,G3,G4,G5,G6,O1,O2,O3,accountability,expectation_matched,eligible_progress
B0,S18,"Confirmed RBH",UNADJUDICABLE,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,CONFIRMED_RBH,N/A-reference-expectation,N/A
B0,S19,"Evidence Conflict",EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,N/A-reference-expectation,N/A
B1,S00,"Legitimate Allow",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S01,"Credential Rotation",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S02,"Runtime Migration",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S03,"Subject Confusion",VIOLATED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S04,"Multi-Role Closure",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S05,"Missing Required Role",VIOLATED,N/A,N/A,N/A,SATISFIED,N/A,N/A,N/A,N/A,N/A,N/A-reference-expectation,N/A
B1,S06,"Provenance Committed After Boundary",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S07,"History Rebind",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S08,"Authority Mismatch",SATISFIED,VIOLATED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S09,"Independent Grant Revocation",SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S10,"Complete Mediation Bypass",SATISFIED,VIOLATED,N/A,VIOLATED,N/A,N/A,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S11,"Denied But Executed",SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,UNADJUDICABLE,VIOLATED,VIOLATED,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S12,"Stale Revocation",SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,UNADJUDICABLE,VIOLATED,VIOLATED,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S13,"Reauthorization",SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S14,"Effect Substitution",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S15,"Admission Replay",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,UNADJUDICABLE,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S16,"Accountability Closed",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,SATISFIED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B1,S17,"Accountability Unadjudicable",UNADJUDICABLE,UNADJUDICABLE,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,N/A-reference-expectation,N/A
B1,S18,"Confirmed RBH",UNADJUDICABLE,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,CONFIRMED_RBH,N/A-reference-expectation,N/A
B1,S19,"Evidence Conflict",EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,N/A-reference-expectation,N/A
B2,S00,"Legitimate Allow",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S01,"Credential Rotation",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S02,"Runtime Migration",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S03,"Subject Confusion",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,true,N/A
B2,S04,"Multi-Role Closure",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S05,"Missing Required Role",VIOLATED,N/A,N/A,N/A,SATISFIED,N/A,N/A,N/A,N/A,N/A,true,N/A
B2,S06,"Provenance Committed After Boundary",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,N/A
B2,S07,"History Rebind",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,N/A,UNADJUDICABLE,true,N/A
B2,S08,"Authority Mismatch",SATISFIED,SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B2,S09,"Independent Grant Revocation",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S10,"Complete Mediation Bypass",SATISFIED,SATISFIED,N/A,VIOLATED,N/A,N/A,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B2,S11,"Denied But Executed",SATISFIED,SATISFIED,N/A,VIOLATED,SATISFIED,N/A,SATISFIED,VIOLATED,VIOLATED,CLOSED,true,N/A
B2,S12,"Stale Revocation",SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,CLOSED,true,N/A
B2,S13,"Reauthorization",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S14,"Effect Substitution",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B2,S15,"Admission Replay",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B2,S16,"Accountability Closed",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B2,S17,"Accountability Unadjudicable",UNADJUDICABLE,UNADJUDICABLE,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,true,N/A
B2,S18,"Confirmed RBH",UNADJUDICABLE,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,CONFIRMED_RBH,true,N/A
B2,S19,"Evidence Conflict",EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,true,N/A
B3,S00,"Legitimate Allow",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S01,"Credential Rotation",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S02,"Runtime Migration",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S03,"Subject Confusion",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,true,N/A
B3,S04,"Multi-Role Closure",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S05,"Missing Required Role",VIOLATED,N/A,N/A,N/A,SATISFIED,N/A,N/A,N/A,N/A,N/A,true,N/A
B3,S06,"Provenance Committed After Boundary",SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,N/A
B3,S07,"History Rebind",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,N/A,UNADJUDICABLE,true,N/A
B3,S08,"Authority Mismatch",SATISFIED,SATISFIED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B3,S09,"Independent Grant Revocation",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S10,"Complete Mediation Bypass",SATISFIED,SATISFIED,N/A,VIOLATED,N/A,N/A,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B3,S11,"Denied But Executed",SATISFIED,SATISFIED,N/A,VIOLATED,SATISFIED,N/A,SATISFIED,VIOLATED,VIOLATED,CLOSED,true,N/A
B3,S12,"Stale Revocation",SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,CLOSED,true,N/A
B3,S13,"Reauthorization",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S14,"Effect Substitution",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B3,S15,"Admission Replay",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,SATISFIED,VIOLATED,N/A,CLOSED,true,N/A
B3,S16,"Accountability Closed",SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,N/A,CLOSED,true,true
B3,S17,"Accountability Unadjudicable",UNADJUDICABLE,UNADJUDICABLE,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,true,N/A
B3,S18,"Confirmed RBH",UNADJUDICABLE,VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,CONFIRMED_RBH,true,N/A
B3,S19,"Evidence Conflict",EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,EVIDENCE_CONFLICT,true,N/A
